Sample Rate, Samples
100K,1022976
Sample Number,Channnel_0,Channel_1,Channnel_2,Channnel_3,Channel_4,Channnel_5,Channnel_6,Channel_7,Channnel_8,Channnel_9,Channel_10,Channnel_11,Channnel_12,Channel_13,Channnel_14,Channnel_15
838084,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
842651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
844934,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
849500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
856245,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
860811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
863094,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
867661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
869943,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
874510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
876792,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
881359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
883642,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
888208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
890491,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
892877,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
895057,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
897340,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
901906,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
904189,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
906576,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
908755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
911038,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
913425,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
915605,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
917887,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
922454,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
924737,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
929303,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
931586,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
936152,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
938435,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
940821,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
943001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
945284,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
947671,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
949850,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
952133,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
956700,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
958982,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
963549,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
965831,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
968218,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
970398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
972681,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
975067,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
977247,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
979530,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
984096,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
986379,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
988766,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
990945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
993228,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
995615,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
997795,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000077,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1002464,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1004644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1006926,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1011493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1013775,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1016162,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1018342,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1020625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1020626,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1020627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1020628,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1020629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1020630,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1020631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1020633,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1020634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1020635,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1020636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1020638,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1020639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1020640,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1020641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1020643,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1020644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1020646,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1022975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
